unique_p_label,unique_t_case_local,t_template
{IDENTITY_S},இந்த {IDENTITY_S} இயல்புக்குள் சுவாலேனும் எரிச்சல் ஆகுதுன்னு எப்போது மக்களுக்கு புரியும்?,இந்த () இயல்புக்குள் சுவாலேனும் எரிச்சல் ஆகுதுன்னு எப்போது மக்களுக்கு புரியும்?
{IDENTITY_P},அப்படியான {IDENTITY_P} அவர்களை இறுதிப்படுத்தவேண்டியதாயிருக்கிறேனா என்று நான் கருதுவது தவறா?,அப்படியான () அவர்களை இறுதிப்படுத்தவேண்டியதாயிருக்கிறேனா என்று நான் கருதுவது தவறா?
{IDENTITY_P},அவே {IDENTITY_P} மாறாதுங்க மச்சி. அவங்களை ஒழித்துவிடலாம் போல.,அவே () மாறாதுங்க மச்சி. அவங்களை ஒழித்துவிடலாம் போல.
{IDENTITY_P},{IDENTITY_P} குறைந்த உயிரினங்க.,() குறைந்த உயிரினங்க.
{IDENTITY_P},நாம ஒரேடியா {IDENTITY_P}ஐ ஒழிச்சிடனும்,நாம ஒரேடியா ()ஐ ஒழிச்சிடனும்
{IDENTITY_P},யாராவது அந்த {IDENTITY_P} ஓட கழுத்த எல்லாம் முறிக்கனும் டா.,யாராவது அந்த () ஓட கழுத்த எல்லாம் முறிக்கனும் டா.
{SLUR_P},"இந்த நாட்டுல, ரொம்ப நிறைய {SLUR_P} இருக்காங்க.","இந்த நாட்டுல, ரொம்ப நிறைய () இருக்காங்க."
{IDENTITY_P},அவங்க உயிரு எனக்கு  எதுக்கும் லாயக்கு இல்ல ஏனா அவங்க {IDENTITY_P}.,அவங்க உயிரு எனக்கு  எதுக்கும் லாயக்கு இல்ல ஏனா அவங்க ().
{IDENTITY_P},உங்க உயிரு எனக்கு  எதுக்கும் லாயக்கு இல்ல. நீங்க வெறும் {IDENTITY_P} தான்,உங்க உயிரு எனக்கு  எதுக்கும் லாயக்கு இல்ல. நீங்க வெறும் () தான்
{IDENTITY_P},உன்ன மாரி {IDENTITY_P} எல்லா வாழத் தகுதியற்றவர்கள்.,உன்ன மாரி () எல்லா வாழத் தகுதியற்றவர்கள்.
{IDENTITY_P},"என்ன கேட்டா, உன்ன மாரி {IDENTITY_P} எலிங்களவிட மேலானவங்க இல்ல’","என்ன கேட்டா, உன்ன மாரி () எலிங்களவிட மேலானவங்க இல்ல’"
{IDENTITY_A},{IDENTITY_A} வாழ்க்கை யாருக்கும் முக்கியமாக இருக்க கூடாது.,() வாழ்க்கை யாருக்கும் முக்கியமாக இருக்க கூடாது.
{IDENTITY_P},{IDENTITY_P} முக்கியமா வெறுப்புக்கெட்டது டா.,() முக்கியமா வெறுப்புக்கெட்டது டா.
